"convocatoria","area","questions","option_A","option_B","option_C","option_D","correct_answer"
"Examenes_2025_II","7084225-biologia","Un centro de salud de la selva central, desea mejorar la entrega oportuna y confiable de los resultados de los 
exámenes de laboratorio. ¿A qué tipo de gestión corresponde?","Coordinación interlaboratorial","Manual de procedimientos","Control de calidad","Cartera de servicio","C"
"Examenes_2025_II","7084225-biologia","Ante el incremento de casos de malaria presentado en un centro de salud, el personal responsable de vigilancia 
epidemiológica desea reportarlos, pero el establecimiento no cuenta con acceso a internet. ¿Cómo realiza la 
notificación?","Reportar al agente comunitario","No realiza la notificación","Ingresando al aplicativo NOTI","Reportar al EESS más cercano de la DIRESA","D"
"Examenes_2025_II","7084225-biologia","¿Qué debe promover el personal de salud en una visita domiciliaria frente a la prevención de anemia en niños 
menores de 36 meses en su comunidad sectorial?","Tamizaje de hemoglobina","Importancia del consumo de micronutrientes","Acciones comunicacionales","Sesión demostrativa de alimentos","B"
"Examenes_2025_II","7084225-biologia","El profesional encargado del área de epidemiología del centro de salud, regularmente revisa y descarga información 
de los registros de laboratorio clínico y de las historias clínicas, con el fin de conocer el estado de la anemia en su 
comunidad. ¿Qué tipo de vigilancia epidemiológica realiza?","Activa","Especializada","Centinela","Pasiva","D"
"Examenes_2025_II","7084225-biologia","Tras confirmarse un caso de rabia urbana, los pobladores de la comunidad se organizan y en coordinación con 
actores municipales y de salud participan activamente en campañas de vacunación antirrábica canina y promoción 
de la tenencia responsable de mascotas. ¿Cuál es el modelo de participación comunitaria realizada?","Delegación técnica","Movilización","Convocatoria","Delegación política","B"
"Examenes_2025_II","7084225-biologia","La vigilancia y control de Aedes sp. en una comunidad con escenario entomológico II es liderado por la GERESA, 
quien convoca la participación del centro de salud, la municipalidad, institución educativa y la comunidad en su 
conjunto. ¿Qué aspecto de la gestión de servicios de salud se está practicando?","Trabajo participativo","Coordinación intersectorial","Participación conjunta","Cultura organizacional","B"
"Examenes_2025_II","7084225-biologia","Se atiende a un paciente varón de 60 años, con diagnóstico de diabetes mellitus tipo 2, obesidad y hábitos de 
tabaquismo. ¿Cuál es la enfermedad no transmisible a la que tiene más riesgo?","Enfermedad cardiovascular","Enfermedad cerebrovascular","Lupus eritematoso sistémico","Linfoma no Hodgkin","A"
"Examenes_2025_II","7084225-biologia","Con la llegada de la pandemia del COVID-19 se han impulsado mejoras para que un paciente pueda tener acceso 
a su historia clínica electrónica, receta electrónica  e información sobre su situación en el sistema integral de salud. 
Dentro de la salud pública. ¿A qué aspecto corresponden dichas optimizaciones?","Intervenciones comunitarias","Telemedicina","TICs en salud","Trabajo intersectorial","C"
"Examenes_2025_II","7084225-biologia","Gestante de 25 años, se realiza una prueba de tamizaje para VIH, resultando ser positiva. Al momento de pasar 
consulta médica la acompaña su pareja. ¿Cuál es el actitud ética que debe observar el profesional?","Resguardo","Consentimiento","Conflicto de interés","Confidencialidad","D"
"Examenes_2025_II","7084225-biologia","Mientras usted transporta muestras sanguíneas de niños aparentemente sanos, los tubos de ensayos 
accidentalmente caen y derraman su contenido en el piso del laboratorio. ¿Cuál es la manera correcta de 
proceder?","Aplicar el protocolo utilizando el kit antiderrame","Comunicar al jefe inmediato del servicio","Llamar al personal de limpieza","Evacuar el área al finalizar la desinfección","A"
"Examenes_2025_II","7084225-biologia","En una comunidad nativa amazónica el centro de salud tiene dificultades para la prestación de sus servicios, 
principalmente debido a su arraigada medicina tradicional y rituales para diagnosticar, tratar y pronosticar sus 
males; por eso, es importante entender las experiencias, significados y prioridades respecto a estas prácticas para 
mejorar las prestaciones de salud. ¿Cuál es el enfoque de investigación más conveniente para explorar el 
problema?","Comunitario","Descriptivo","Cuantitativo","Cualitativo","D"
"Examenes_2025_II","7084225-biologia","En el centro de salud de Satipo, en una reunión entre representantes de la DIRESA, red de salud y personal de 
salud, junto a las autoridades, agentes y autoridades comunales se va implementar la metodología del DIS (diálogo 
intercultural en salud). ¿Cuál es el primer momento en su implementación?","Análisis sociocultural e identificación de prioridades de salud","Planificación, acuerdos y compromisos","Programación de actividades","Reconocimiento de actores, difusión y preparación del diálogo","D"
"Examenes_2025_II","7084225-biologia","Luego de la elaboración del plan estratégico institucional y plan operativo institucional corresponde aprobarlos y 
luego ejecutarlos. ¿Qué fase se activa a continuación con el fin de identificar y ejecutar las medidas correctivas?","Establecer actividades operativas","Seguimiento y evaluación","Elaboración de los OEI y AEI","Creación de los PEI y POI","B"
"Examenes_2025_II","7084225-biologia","En el centro de salud se recibe a una adolescente embarazada solicitando ayuda, sin compañía de sus padres. La 
evaluación psicológica revela que manifiesta ideación suicida, motivo por el cual se procede a atenderla siguiendo 
las guías vigentes. ¿Qué prioridad en la ley de salud mental se está cumpliendo?","Implementación del modelo de atención de salud mental comunitaria","Proteger la salud integral y el bienestar de la persona","Cuidado de la salud mental en poblaciones vulnerables","Dignidad de las personas con problemas de salud mental","C"
"Examenes_2025_II","7084225-enfermeria_claves","El tamizaje de cáncer de mama se realiza dentro del grupo etario de 40 a 69 años, a través de….","mamografía bilateral cada año y examen clínico de mamas semestral.","mamografía bilateral cada dos años y examen clínico de mamas anual.","radiografía bilateral cada año y examen clínico cada tres meses.","autoexamen de mamas cada tres meses y el examen clínico cada seis meses.","B"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud que tiene a su cargo una población asignada, realizará acciones donde atenderá 
como mínimo 06 horas diarias la atención integral de salud de acuerdo a etapas de vida. Tiene asignado médico, 
enfermera, obstetra, personal técnico de enfermería. ¿A qué categoría corresponde?","I-3","I-2","II-1","I-4","B"
"Examenes_2025_II","7084225-enfermeria_claves","El instrumento de gestión que comprende la programación de actividades operativas e inversiones en todas las 
dependencias del ministerio con sus respectivas metas físicas y financieras es el:","PEI","POI","PDLC","PESEM","B"
"Examenes_2025_II","7084225-enfermeria_claves","Una madre de familia acude al EESS con su menor de 15 días de nacido,  por presentar tos intensa, dolor de 
garganta hace 8 días, se verifica que en su gestación no fue vacunada de Tdap. Se toma muestra por sospecha 
de tos ferina. Después de una semana se confirma caso; en  la visita  domiciliaria se observa que su bebé tiene tos 
persistente, asi como  el personal  que atendió presenta síntomas. ¿A qué corresponde esta situación?","Brote","Desastre","Emergencia sanitaria","Evento","A"
"Examenes_2025_II","7084225-enfermeria_claves","Paciente testigo de Jehová, de 60 años, con diagnosticado de leucemia mieloide crónica, se descompensa y llega 
al servicio de emergencia, presentando valores hematológicos alterados, entre ellos plaquetopenia severa, Hb. 5 
mg/dL. El paciente se niega a recibir hemoderivados. La decisión del paciente aplica como la máxima expresión 
del principio de:","No maleficencia","Autonomía","Beneficencia","Justicia","B"
"Examenes_2025_II","7084225-enfermeria_claves","Paciente procedente de zona minera, consume agua de rio contaminado; que a la evaluación no presenta ningún 
manifestación clínica de intoxicación por metales pesados y metaloides. ¿A qué definición de caso corresponde?","Confirmado","Sospechoso","Descartado","Probable","B"
"Examenes_2025_II","7084225-enfermeria_claves","Una madre de familia acude a un establecimiento de salud I-2 con su niño de 6 meses de edad, refiere que desde 
hace 15 días presenta tos persistente, fiebre, a la evaluación se evidencia rubicundo, dificultad para respirar y lactar; 
en cartilla de vacunación se encuentra dosis incompleta de vacuna pentavalente. ¿Cuál es la medida de 
bioseguridad prioritaria para el personal de salud en la atención ambulatoria?","Calzado de guantes","Uso de mascarilla","Vacunación inmediata","Higienización de manos","B"
"Examenes_2025_II","7084225-enfermeria_claves","Niño de 6 años, es llevado al puesto de salud  1-I por presentar fiebre, con erupción maculo papular no vesicular en 
cara y tronco, el personal sospecha de sarampión. Dentro del sistema de vigilancia epidemiológica. ¿Cuál es la 
conducta a seguir?","Toma de muestra en el mismo puesto de salud y seguimiento a los contactos del niño","Notificación inmediata y coordinación con el establecimiento con laboratorio mas cercano para la toma de","Referir al niño al establecimiento de salud con mayor capacidad resolutiva para toma de muestra","Monitoreo del paciente y barrido con vacunación SPR a la comunidad","B"
"Examenes_2025_II","7084225-enfermeria_claves","Adolescente mujer de 15 años acude al establecimiento de salud de categoría I-2 para curación de herida cortante 
en mano, aparte de la atención del motivo de consulta. ¿Qué atenciones adicionales le ofertarías como parte de su 
cuidado integral?","Identificación de estrés/ansiedad, prevención de enfermedades crónicas, evaluación nutricional, suplementación","Prevención de caídas, desarrollo sexual, estilos de vida saludable, elaboración del plan de vida","Tamizaje de violencia familiar y conductas de riesgo, evaluación nutricional, tamizaje de anemia y parásitos","Tamizaje de cáncer de cérvix, evaluación odontológica, tamizaje de violencia familiar, inmunizaciones","C"
"Examenes_2025_II","7084225-enfermeria_claves","En el centro de salud de la Merced, en una reunión entre representantes de la DIRESA, red de salud y personal de 
salud, junto a las autoridades, agentes y autoridades comunales se va implementar la metodología del DIS (diálogo 
intercultural en salud). ¿Cuál es el primer momento en su implementación?","Análisis sociocultural e identificación de prioridades de salud","Planificación, acuerdos y compromisos","Programación de actividades","Reconocimiento de actores, difusión y preparación del diálogo","D"
"Examenes_2025_II","7084225-enfermeria_claves","¿En qué paquete de atención integral de salud del adolescente se realiza la identificación de riesgos psicológicos 
y la evaluación de desarrollo de Tanner?","Paquete completo de atención integral","Prestaciones colectivas que fortalecen factores protectores.","Paquete especializado de atención integral","Paquete básico de atención integral","D"
"Examenes_2025_II","7084225-enfermeria_claves","El paciente hipertenso con tratamiento instaurado debe recibir controles de la PA cada mes durante ……., si en el 
75% de estos controles los valores están dentro del rango objetivo, sus controles se realizarán cada...","6 meses / 3 meses.","6 meses / 2 meses.","5 meses / 2 meses.","1 año / 3 meses.","A"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuáles son los productos finales del ASIS local, que se validan con los actores sociales en lo que llamamos el 
proceso de concentración?","Las líneas de acción y los territorios vulnerables priorizados","Análisis integrado y la lista de líneas de acción","Los problemas con impacto sanitario priorizado y la lista de líneas de acción","Análisis integrado y los territorios vulnerables priorizados","C"
"Examenes_2025_II","7084225-enfermeria_claves","Es el conjunto de referencias compartidas entre todos, como resultado de una historia y de significados comunes 
que se dan a las situaciones y a las relaciones mediante el lenguaje cotidiano. Se forja y modifica en las relaciones 
de cotidianeidad de la organización. ¿A qué corresponde esta definición?","Cultura organizacional","Función institucional","Clima institucional","Ambiente laboral","A"
"Examenes_2025_II","7084225-enfermeria_claves","Según el estudio de contactos. ¿Cuántos controles como mínimo deben recibir los contactos de casos de TB 
resistente?","6","2","3","4","A"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud de Miguel Grau, se han reunido todos los profesionales de salud y han desarrollado 
su análisis FODA. Dentro de su análisis la mejora al acceso digital y mayor conectividad en esta zona rural se 
considera una:","Amenaza","Debilidad","Oportunidad","Fortaleza","C"
"Examenes_2025_II","7084225-enfermeria_claves","Un establecimiento de salud del primer nivel de atención con capacidad resolutiva para satisfacer las necesidades 
de salud de la persona, familia y comunidad, en régimen ambulatorio en atención de 12 horas. Cuenta con población 
asignada, con dos o más médicos cirujanos, odontólogo, enfermera, obstetra; personal técnico de enfermería, 
laboratorio y farmacia. ¿A qué categoría pertenece?","I-1","I-4","I-3","I-2","C"
"Examenes_2025_II","7084225-enfermeria_claves","Todo servidor público debe ...… y ...… los bienes del Estado, debiendo utilizar los que le fueran asignados para el 
desempeño de sus funciones de manera racional, evitando su abuso, derroche o desaprovechamiento, sin emplear 
o permitir que otros empleen los bienes del Estado para fines particulares o propósitos que no sean aquellos para 
los cuales hubieran sido específicamente destinados.","ejecutar / depositar","proteger / conservar","atesorar / utilizar","usar / cuidar","B"
"Examenes_2025_II","7084225-enfermeria_claves","¿Qué tipo de prevención es, el conjunto de acciones dirigidas a reducir el progreso y las complicaciones de una 
enfermedad ya establecida en la persona, mediante la aplicación de medidas orientadas a reducir secuelas y 
discapacidades, minimizar el sufrimiento y facilitar la adaptación de los pacientes a su entorno o promover su 
reincorporación a sus actividades rutinarias?","Primordial","Secundaria","Primaria","Terciaria","D"
"Examenes_2025_II","7084225-enfermeria_claves","El desarrollo del sistema de información en salud debe contar con un conjunto de atributos. ¿Cuál es el atributo 
que identifica a la persona e integra a la familia?","Uso de la tecnología disponible","Uso de estándares a partir de la identificación de usuario","Seguridad y confidencialidad de la información","Integral","B"
"Examenes_2025_II","7084225-enfermeria_claves","La fase inicial del periodo patogénico que transcurre entre el momento del estímulo y la aparición de síntomas y 
signos en las enfermedades transmisibles. ¿A qué período corresponde?","Incubación","Ventaja","Latencia","Inducción","A"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud se está realizando un spot radial en idioma quechua para ser difundida en su radio 
local. Ésto es un ejemplo de medio de expresión que garantiza la...","creatividad.","responsabilidad étnica.","diversidad cultural.","política radial.","C"
"Examenes_2025_II","7084225-enfermeria_claves","Niña de 8 meses es llevada a su control de  niño sano a un establecimiento de salud de la sierra central, madre 
refiere que no tomó el suplemento preventivo de hierro desde los 7 meses, se le hace dosaje de hemoglobina con 
un valor de 11.5 g/dL (con factor de corrección). ¿Cuál es la conducta a seguir respecto a su suplementación?","Continuar con la dosis preventiva hasta los 6 meses, previa consejería","Iniciar un nuevo esquema de suplementación preventiva y dar consejería","Iniciar tratamiento para la anemia con evaluación médica","Continuar con la dosis preventiva durante 3 meses y repetir dosaje de hemoglobina","A"
"Examenes_2025_II","7084225-enfermeria_claves","El responsable del establecimiento de salud, está recibiendo la relación y stock de materiales e insumos para la 
atención de la gestante y se percata que hay productos vencidos (hace un mes), que ya no pueden ser consumidos 
para la atención. ¿Cuál es el procedimiento a seguir?","Devolver a farmacia con informe","Solicitar a farmacia la rotación a otro establecimiento de salud","Eliminar el producto","Mantenerlo en su stock hasta nuevo requerimiento","A"
"Examenes_2025_II","7084225-enfermeria_claves","En la visita familiar integral en la comunidad de San Gerónimo de Surco, madre de 26 años, con 5 hijos en edades 
comprendidas entre los 10 días de nacimiento y 7 años, fueron identificados riesgos por curso de vida y a la 
dinámica familiar, que permitió la intervención del personal de salud en tres ejes. ¿Qué tipo de trabajo es?","Multidisciplinario","Transgeneracional","Intersectorial","Transversal","A"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud de Santa Anita, el jefe realiza desplazamiento del personal a otro centro, 
sustentando la disminución de coberturas vacunales, la enfermera que labora más de 15 años, manifiesta su 
descontento presentando una queja a recursos humanos. ¿Qué aspecto de la gestión de recursos humanos se ve 
afectado?","Trabajo social","Ley del CAS","Clima organizacional","Salud mental","C"
"Examenes_2025_II","7084225-enfermeria_claves","Es la entrega de servicios de salud de acuerdo con los parámetros culturales de los/as usuarios/as; es decir, 
construidos a través de espacios de diálogo, en los que prestadores y usuarios/as acuerdan cuáles deben ser 
las características de los servicios que les son ofertados por parte del Estado:","Pertinencia cultural","Adecuación cultural","Interculturalidad en salud","Diversificación intercultural","A"
"Examenes_2025_II","7084225-enfermeria_claves","La obstetra del P.S. Lircay recibe multigesta de 38 sem de gestación, con evidente hemorragia vaginal, al examen: 
piel fría, signos vitales alterados. La coloca en decúbito lateral izquierdo, la abriga y despeja sus vías aéreas, 
administrándole oxigeno con cánula binasal. ¿Qué tipo de respuesta empleó ante esta emergencia?","Reposición de volumen","Medidas de soporte","Trato interpersonal","Reto de fluidos","B"
"Examenes_2025_II","7084225-enfermeria_claves","En el marco del ciclo de planeamiento estratégico la fase ...... es la encargada del diseño de objetivos y acciones 
estratégicas sectoriales en consistencia, alineamiento y coherencia con la definición de objetivos.","2","4","3","1","C"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es la herramienta que describe y analiza los problemas de salud de un distrito o provincia, su relación casual 
con los determinantes sociales, se construye de manera participativa, es útil para la toma de decisiones y necesaria 
para la planificación en salud?","Alerta epidemiológica","Plan de salud local","Boletines en salud","Análisis de situación de salud","D"
"Examenes_2025_II","7084225-enfermeria_claves","El médico jefe de un establecimiento de salud, con el propósito de proyectar su plan de capacitación continua; 
evalúa a su personal con respecto al desecho de materiales como termómetros de mercurio rotos y productos 
radioactivos, encontrando escasos conocimientos. ¿En qué área debe capacitar?","Salud ambiental","Cambio climático","Clima organizacional","Gestión de recursos","A"
"Examenes_2025_II","7084225-enfermeria_claves","Varón acude al establecimiento I–2 y solicita al jefe del PS información acerca del tratamiento que su señora esposa 
se realiza en Planificación Familiar todos los meses, está muy alterado. El jefe del establecimiento informa que 
debe guardar reserva respecto a la información referente a su esposa. ¿Qué deber del servidor público se está 
aplicando en este caso?","Discreción","Neutralidad","Responsabilidad","Transparencia","A"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es el indicador que permite determinar y dar a conocer la distribución de las determinantes sociales de la 
salud, la morbimortalidad en territorios o grupos poblacionales de un ámbito geográfico determinado?","Crecimiento de un evento de interés sanitario","Diferencia de riesgo de un evento de un interés sanitario","Razón de riesgo de evento de interés sanitario","Concentración de un evento de interés sanitario","D"
"Examenes_2025_II","7084225-enfermeria_claves","Puérpera atendida en un establecimiento de salud de Tumbes se le realiza control de hemoglobina, obteniéndose 
el valor de 12.3 g/dL. ¿Cuál es el diagnóstico?","Anemia leve","Anemia severa","Anemia moderada","Sin anemia","D"
"Examenes_2025_II","7084225-enfermeria_claves","Gestante de 25 semanas acude al establecimiento de salud, para su control. Examen: FC: 100 X', FR: 26 X', PA 
160/90 mmHg, T°: 36.5 °C. Se coloca vía endovenosa segura de ClNa 0.9%. ¿Qué intervención corresponde según 
el relato?","Evaluar glucosa","Coordinar referencia","Administrar oxitócicos","Toma de exámenes de laboratorio","B"
"Examenes_2025_II","7084225-enfermeria_claves","En el establecimiento de salud ""Chacra Colorada"" se está realizando una auditoría de salud para verificar y mejorar 
la calidad de atención en los servicios de salud, por múltiples quejas recibidas respecto al tiempo de espera en 
consultorios externos. Para ello el auditor procede con el debido cuidado, de acuerdo con la importancia de la tarea 
que desempeña y la confianza depositada en él por la entidad o servicio auditado, en resguardo de los intereses y 
derechos de los usuarios. ¿Qué principio de auditoría está aplicando?","Objetividad","Veracidad","Independencia","Diligencia","D"
"Examenes_2025_II","7084225-enfermeria_claves","La enfermera del establecimiento de salud de Paucartambo, recibe a una mujer de 28 años quechua hablante para 
vacunación antitetánica; se presenta, la saluda y le brinda atención con adecuación intercultural. ¿A qué principio 
ético como servidor público alude su actuar?","Eficiencia","Responsabilidad","Justicia y equidad","Lealtad y obediencia","C"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es la valoración clínica del adulto mayor que es realizada por el técnico de enfermería capacitado, en el 
primer nivel de atención, acorde a la disponibilidad de recursos humanos y tecnológicos del establecimiento de 
salud?","VACAM breve","VACAM completa","VACAM simple","VACAM corta","A"
"Examenes_2025_II","7084225-enfermeria_claves","Toda persona diagnosticada con TB (pulmonar o extrapulmonar) y que debe ser registrado por el establecimiento 
de salud en el sistema de información gerencial de tuberculosis (SIGTB), inicie o no el tratamiento; se clasifica 
como caso de...","TB MDR","TB probable","TB con confirmación bacteriológica","TB","D"
"Examenes_2025_II","7084225-enfermeria_claves","En un estudio de investigación epidemiológico, de campo y cualitativo basada en la observación y entrevista, los 
principios éticos consideran lo siguiente:","No requiere contar con revisión por el comité de ética","Consentimiento, respeto y veracidad","No maleficencia, respeto y eficacia","Obtención del consentimiento, confidencialidad y beneficencia","D"
"Examenes_2025_II","7084225-enfermeria_claves","Acude al establecimiento de salud I-2 una madre de familia, por presentar somnolencia y pérdida de fuerza al 
caminar; menciona que hace 24 h le administraron la vacuna antitetánica. Con antecedente de hipotiroidismo, que 
desde hace 3 días olvidó tomar su medicación. ¿Cuál es el tipo de ESAVI que presenta?","Moderado","Leve y coincidente","Leve por error programático","Leve y atribuido a la vacuna","B"
"Examenes_2025_II","7084225-enfermeria_claves","Niña de 3 años de edad,  tiene resultado de laboratorio PCR (+) para tos ferina, el personal realiza la investigación 
epidemiológica y búsqueda activa comunitaria, identificando a su padre como contacto directo, quien presentó tos 
persistente durante el periodo incubación de su hija y recibió tratamiento antibiótico en consultorio particular. ¿Cuál 
es la clasificación de caso para el padre en el sistema de vigilancia epidemiológica?","Sospechoso en investigación","Confirmado por nexo epidemiológico","Probable","Compatible","B"
"Examenes_2025_II","7084225-enfermeria_claves","Madre quechua hablante de la comunidad Sihuas, que se encuentra a 3 horas de caminata del centro de salud, 
acude para control de CRED de su bebé de 2 meses y no llega a obtener un cupo para su atención. ¿Cuál es la 
medida a tomar con la usuaria?","Asigna el primer cupo al siguiente día","Garantizar su atención de manera prioritaria","Indicarle que vuelva por la tarde","Se le atenderá al final de todos","B"
"Examenes_2025_II","7084225-enfermeria_claves","Lactante de 4 meses es atendido en consultorio de niño sano y a la valoración antropométrica presenta incremento 
de peso paralela al patrón de referencia y el indicador P/T se ubica por encima +3 DS, la madre refiere que lo 
alimenta solo con lactancia materna. ¿Cuál es la clasificación nutricional?","Sobrepeso","Crecimiento adecuado para la edad","Riesgo de hipotiroidismo","Crecimiento inadecuado por ganancia excesiva","B"
"Examenes_2025_II","7084225-enfermeria_claves","Adolescente de 15 años llega al EESS I-1 acompañada por su madre y profesor, por propiciarse cortes profundos 
en la muñecas con sangrado considerable; después de su atención en tópico, la Enfermera pregunta a la paciente 
¿Cómo se hizo esas lesiones?, ella responde, “quiero morirme, mi vida no me interesa”. Enfermera determina que 
este caso debe ser referido. ¿Quién firma el consentimiento informado para la referencia?","Madre","Enfermera","Profesor","Paciente","A"
"Examenes_2025_II","7084225-enfermeria_claves","Usted atiende a una  mujer joven de 25 años; encuentra los siguientes valores: índice de masa corporal de 31 y 
perímetro abdominal de 94 cm. ¿Cuál es su clasificación nutricional y su riesgo cardio metabólico?","Sobrepeso / elevado","Obesidad tipo 1 / normal","Obesidad tipo 1 / muy elevado","Obesidad tipo 3 / muy elevado","C"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es el lavado de manos que implica una buena práctica de atención para la seguridad del paciente según la 
OMS?","Lavado de manos clínico,  que dura de 20 a 30 segundos y tiene 08 pasos","Lavado de manos clínico,  que dura de 30 a 60 segundos y tiene 10 pasos","Lavado de manos clínico, que dura de 40 a 60 segundos y tiene 11 pasos","Lavado de manos social, que dura de 5 a 10 segundos y tiene 8 pasos","C"
"Examenes_2025_II","7084225-enfermeria_claves","En el establecimiento de salud ""Vida Nueva"" se está haciendo un spot publicitario para promocionar la ventajas del 
parto vertical. ¿Cuál es uno de los criterios de inclusión para este tipo de parto?","Gestantes sin complicación obstétrica, incluye adolescentes y mujeres jóvenes","Falta de colaboración de la gestante para el trabajo de parto y la atención del mismo (problemas psiquiátricos)","Gestante con distocias de contracción","Gestante con antecedente de miomectomías","A"
"Examenes_2025_II","7084225-enfermeria_claves","Para la formulación del plan estratégico institucional según el CEPLAN. ¿Cuál es la fase que se encarga de elaborar 
el futuro deseado?","3","2","4","1","B"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es la actividad técnica operativa de residuos sólidos que involucre manipuleo, acondicionamiento, 
transporte, transferencia, tratamiento, disposición final o procedimiento técnico operativo hasta su disposición final?","Manejo integral de residuos sólidos","Manejo de residuos sólidos","Gestión de residuos sólidos","Plan de gestión de residuos sólidos","B"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuáles son los factores de riesgo que afectan la función visual en el recién nacido que se deben de identificar 
durante el control CRED?","Internamiento en UCI, fototerapia, distrés respiratorio al nacer","Madre con exposición a metales pesados y tratamiento por infecciones en la gestación","Padres con visión anormal, ictericia al nacer, prematuro","Antecedente familiar con ceguera, prematuro, sufrimiento fetal, bajo peso al nacer","D"
"Examenes_2025_II","7084225-enfermeria_claves","Se considera ESAVI severo a todo evento adverso asociado a la vacunación o inmunización que tiene asociación 
temporal y no necesariamente causal que cumpla uno o mas de los siguientes criterios:","Efectos adversos masivos, fallecimiento, dolor intenso, anafilaxia.","Hospitalización, riesgo de muerte, discapacidad, fallecimiento.","Internamiento por emergencia, alteración hemodinámica, muerte inmediata, discapacidad","Hospitalización, fiebre súbita, efectos secundarios severos, anafilaxia.","B"
"Examenes_2025_II","7084225-enfermeria_claves","En el neonato, el contacto piel a piel, la lactancia materna y la vacunación. ¿A qué tipo de prevención corresponden?","Cuaternaria","Primaria","Secundaria","Terciaria","B"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud I-1, las actividades programadas para la detección oportuna y control de la diabetes 
mellitus tipo 2 incluye:","Modificación de estilos de vida / manejo farmacológico hasta el alta del paciente","Tamizaje de glucemia en ayunas a las personas con factores de riesgo / seguimiento de la adherencia al","Consejería nutricional / evaluación de nefropatías y neuropatías","Exámenes rutinarios glucemia, perfil lipídico completo / visita domiciliaria","B"
"Examenes_2025_II","7084225-enfermeria_claves","En cumplimiento al plan de atención integral, usted realiza evaluación de agudeza visual a escolar de 13 años. 
¿Cuál es el criterio de referencia para evaluación médica según el resultado obtenido?","Menor a igual a 20/20 en ambos ojos","Menor o igual a 20/30 en uno o ambos ojos","Menor o igual a 20/50 en uno o ambos ojos","Mayor o igual a 20/40 en un ojo","C"
"Examenes_2025_II","7084225-enfermeria_claves","El grado en que un instrumento produce resultados consistentes y coherentes se denomina ...... y el grado en que 
un instrumento en verdad mide la variable que se busca medir se denomina...","confiabilidad / validez.","validez de constructo / validez de criterio.","validez / objetividad.","piloto / confiabilidad.","A"
"Examenes_2025_II","7084225-enfermeria_claves","El …... de los equipos es uno de los factores que influyen decisivamente en la mejora de la calidad asistencial y en 
los resultados sobre la salud de la población.","coordinador","liderazgo","responsable","jefe","B"
"Examenes_2025_II","7084225-enfermeria_claves","En los establecimientos de salud categoría I-4 cuenta como mínimo para la atención ambulatoria e internamiento 
con capacidad resolutiva con las UPSS de consulta externa, ....... y farmacia.","hospitalización","nutrición","central de esterilización","patología clínica","D"
"Examenes_2025_II","7084225-enfermeria_claves","La enfermera del Centro de Salud Poques, identifica que hay un alto índice de malnutrición en los niños de la 
institución educativa local, situación que advierte al director y personal docente. Menciona la principal acción a 
desarrollar con el sector educación en el nivel local","Realizar escuela de padres","Capacitar a vigías escolares","Promover kioskos y comedores escolares saludables","Gestionar ante el municipio el apoyo alimentario","C"
"Examenes_2025_II","7084225-enfermeria_claves","¿Cuál es la enfermedad zoonótica relacionada al acceso a saneamiento básico, se contagia a través del contacto 
con la orina de animales infectados o agua contaminada y su prevención a través de la protección de fuentes de 
agua, disposición adecuada de basuras y excretas, control de roedores y protección personal?","Leptospirosis","Carbunco","Tifus","Peste","A"
"Examenes_2025_II","7084225-enfermeria_claves","En un establecimiento de salud del departamento de Junín se realiza el CRED al niño de un mes de edad, al realizar 
la evaluación ocular se evidencia ausencia de reflejo, se sospecha de retinoblastoma. ¿Qué test se aplicó para esta 
evaluación ocular?","Bruckner","Fijación de ojos","Reflejo de parpadeo","Fijación mononuclear","A"
"Examenes_2025_II","7084225-enfermeria_claves","¿Qué tipo de indicador es ""el porcentaje de gestantes de parto vertical con manejo activo del tercer periodo""?","De resultado","De proceso","De desempeño","De estructura","B"
"Examenes_2025_II","7084225-enfermeria_claves","Los pueblos indígenas tienen derecho a establecer y controlar sus sistemas e instituciones docentes que impartan 
educación en sus propios idiomas, en consonancia con sus métodos culturales de enseñanza y aprendizaje. Por 
tanto, tienen derecho a todos los niveles y formas de educación del estado sin...","discriminación.","tolerancia.","diversidad.","comprensión.","A"
"Examenes_2025_II","7084225-enfermeria_claves","Lactante de 3 meses de edad, con antecedente de bajo peso al nacer y distrés respiratorio al nacimiento, a la 
aplicación del TPED responde adecuadamente y no hay desviación a la izquierda de la línea vertical que describe 
las habilidades en las áreas evaluadas. ¿Cómo se interpreta su evaluación del desarrollo psicomotor?","Riesgo para trastorno del desarrollo","Coeficiente psicomotor en alto riesgo","Niño recuperado","Coeficiente del desarrollo normal","A"
